Musée,Nuléro de caisse,inventaire,inventaire clean,pictures filenames,matériau,matériau simplifié,"matériau (sous-type)
",incertitude sur le matériel,typologie,typologie@en,datation,incertitude sur la datation,provenance (country code),provenance,provenance@en,incertitude sur provenance,nombre de fragements,typologies de fragments,taille,poids,lacunaire (observations),% lacunaire,autre dégradations visibles ,observations ,provenance_file,Unnamed: 12,autres observations,Unnamed: 13,Unnamed: 15,obaservations 
MNC,pas de num (caisse isolée) avec présence d'autres fragments exogènes ,19463,19463,19463 (6).JPG,terre cuite ,terre cuite,,FALSE,plat ,plate,XIX - XX,FALSE,788,"Tunisie {Afrique, Nord}",Tunisia {North Africa},FALSE,44,4 très gros : entre 16 et 18 cm ; 6 entre 8 et 10 cm ; 13 entre 8 et 6 cm ; 9 entre 6 et 4 cm ; 10 entre 4 et 2 cm ,environ 22-23 cm de diamètre ,,moins de 10%,<10,"pâte friable, craquelures (= nécessiterai une consolidation), traces  blanches  ur certains fragments (sels ? Plâtre ? ) ; noircissement utilisation pour cuire sur le feu ? ","technique de tournage au colombin. Fragments scannés (voir pour un remontage 3D). D'après l'inventaire historique : ""Poterie tunisienne. Dim 21 cm. Plat de ?  (région de  (?)) Décor au bitume et à la gomme laque."" inventaire historique : "" 19463 Dim 21 cm, poterie rustique tunisienne plat de gubtua (région de ferryville ??) décor au bitume et à la gomme laque ; don du Dr gobert à tunis"". ",sevres_terre cuite.csv,,,,,
MNC,pas de num caisse en plastique avec différente chose mélangée ,4936,4936,4936 (11).JPG,terre cuite,terre cuite,,FALSE,vase,vase,XV - XVI,TRUE,356,"Inde {Asie, Sud}",India {South Asia},FALSE,2,"un fragment bas du vase : 10, 2 cm de diamètre 6,5 cm de hauteur ; fragment du col : 12 cm de long ; environ 10 cm de largeur, 13 cm de haut.","difficile de connaitre la taille véritable = partie du pieds manquante, et pas de connexion entre les deux morceaux pour connaitre le diamètre véritable ",,"0,4",40,"empoussièremment, pâte très fine attention en le manipulant fragile (mal conditionné mériterait une caisse à part pour éviter de s'entre choquer avec d'autres objets), deux éclats sur le col ","tourrnage classique, décors faits au tours à la pointe. Étiquettes sur les deux morceaux avec la même inscription (= 4936-1 Myxapore (?) Bengale) inventaire hist : 4936 fabrique d'Ahmedabad province de Gujarate (Indostan), deux gargoulettes à panse sphéroïdale, poterie fine, jaune rougeâtre, lustrée par polissage ; Donnés par Mr (?) Royle commissaire de la compagnie anglaises des indes à l'exposition universelle de 1855 (Suisse)."" date d'entrée 1856. ",sevres_terre cuite.csv,,,,,
MNC,pas de num(terres cuites romaines ),2919_1,2919_1,"2919_1 (1).JPG
2919_1 (5).JPG
2919_1 (9).JPG",terre cuite [vernissée],terre cuite,vernissée,FALSE,vase [deux hanses],vase [two handles],XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,7,1 fragment gros de la panse avec l'hanse : 15 cm ; 2 du col : entre 6 et 8 cm ; 1 de 4 cm ; 3 de 2 cm ,"18 cm de haut ; longeur 14,5 cm ; largeur/diamètre 12 cm",,"0,15",15,"traces d'anciennes restauration au niveau de l'hanse manquante (donc sûrement déjà manquante avant la guerre), divers éclats et manques autour du col mais profil archéo complet ","décors fait par incision lors du tournage, présence de deux numéros d'inventaire différents (on a retenu celui présent deux fois), étiquette faisant mention du don de cette poterie : ""Ab 11 N°1069 Hydrocérame ou vase à raffraichir (?) des fabriques du Sannio, Royaume de Naples 18e siècle;  Donné par Mr le Duc de Luynes en 1840"". inventaire hist. : "" 2919 poterie réfrigérante. Deux petites cruches à boire turbiniformes en terre rouge lustrée par polissage : l'une à bosselage, ?, deux anses, l'autre à col percé de trois trous en manoère de passoire : Haut moyenne, 0,16% du Sannio, Royaume de Naples ; XVIIIe siècle."" date d'entrée 1841 "" rapporté de Naples et donné par Mr le Duc de Luynes"". ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",2919_2,2919_2,"2919_2 (12).JPG
2919_2 (16).JPG
2919_2.JPG",terre cuite [décors peints],terre cuite,peinte+vernissée,FALSE,vase [une hanse],vase [one handle],XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,3 (bientôt 4),1 très gros avec presque tout entre 16 et 18 cm ; 1 morceau du col environ 4 cm ; 1 autre du col plus petit de2 cm ,"hauteur : 16,5 cm ; longeur 11,7 cm ; largeur/ diamètre : 11 cm",,15-20% manque l'hans et une partie du col ,15-20,"éclats à la base, empoussièrement, rayures mais pas de profil archéo complet manque l'hanse. Fissures sur le col au niveau des petits trous mériterait une consolidation.","traces de décors peints (minimalistes), deux numéros d'inventaires choix de mettre celui qui suit le précédent car font surement parti du même lot, possède la même étiquette que le 2919_1  donc même provenance. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",19400,19400,"19400 (11).JPG
19400 (2).JPG",faïence [glaçure] [engobe],faïence,engobée + galçurée,FALSE,coupelle ,small bowl,XX,TRUE,616,Pologne {Europe},Italy {Europe},FALSE,16,1 entre 12 et 14 cm ; 2 entre 8 et 10 cm ; 2 entre 6 et 8 cm ; 1 entre 4 et 6 cm ; 8 entre 2 et 4 cm ; 2 moins de 2 cm ,"diamètre 14 cm; hauteur 3,3 cm",,moins de 10%,<10,2 lacunes vers le centre + des éclats. Glaçure qui semble fragile (pourrait valoir la peine de faire une consolidation),"pas fait au tour (modelage ou colombin), estampillage au dos mais illisible. Inventaire hist. : 19400. Faïence populaire polonaise. Tasse et sa soucoupe en terre vernissée, la tasse à anse de forme évasée : décor de fleu stylisées noires sur fond vert. L'intérieur de la tasse est rose. Poméranie."" ""Don de la société d'expansion d'art polonais à l'étrangerr"" entré dans les collection en 1936. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",5072,5072,"5072 (11).JPG
5072 (4).JPG",terre cuite [vernissée] ,terre cuite,vernissée,FALSE,pot [couvercle] [hanse bouton] ,pot [with lid] [button handle],XIX,TRUE,392,Japon {Asie},Japan {Asia},FALSE,12,pour couvercle cf colonne d'ap ; partie de la base environ 8 cm ; 4 entre 6 et 8 cm ; 2 entre 4 et 6 cm ; 4 entre 4 et 2 cm ; 1 de 2 cm ,"pot : hauteur avec couvercle 11,7 cm ; 11,5 cm de long ; 10,5 cm de large. Couvercle : 6,9 cm de diamètre ; 3 cm de hauteur",,"0,4",40,"très lacunaire (problème de stabilité des fragments au remontage), et bcp d'éclats nottamment sous le couvercle. ","sceau à la base dans un cartouche (deux idéogrammes), ancienne étiquette du vieux musée sous le pied, décor de fleur incisé et doré sur la panse à certains endroits (discret). Inventaire hist. : 5072 : poterie non vernissée. Une théière à réchaud quadranguliforme, poterie à pâte fine, tendre, grisâtre ; à enduis encaustique brun chocolat décoré de fleur de thé gravées à la pointe et réhaussées d'or. Fabrique du Japon."" entré dans les collections en février 1857. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",4932_3,4932_3,"4932_3 (1).JPG
4932_3 (16).JPG",terre cuite [vernissée],terre cuite,vernissée,FALSE,vase à fumer,smoking vase,XVII - XIX,TRUE,356,"Inde {Asie, Sud}",India {South Asia},FALSE,13,1 gros volume : moitièe de la panse ronde environ 17 cm de long ; puis partie du bec verseur entre 14 et 16 cm ; 1 entre 10 et 12 cm ; 2 entre 8 et 10 cm ; 5 entre 4 et 6 cm ; 2 entre 4 et 2 cm ; 1 moins de 2 cm (forme pointue triangulaires en écrassante majorité). ,18 cm de long ; 17 cm de large ; hauteur max 13 cm (mais manque des parties),,10-15 % ,10-15,"lacunaire : manque le pied et le col/haut ?; morceaux cassés/collés d'un précédente restau avec traces de colles et ressauts ; grosse fissure nécéssiterait une consolidation ; décors un peu comme l'objet précédent vernissage, polissage et éléments de dorures. Fragiles à manipuler avec précaution (surtout avec les scotchs attentionoù on les positionne pour ne pas enlever la dorure)","typologie difficile à identifier : panse ronde compléte, et bec verseur complet. Puis partie qui semble est situé au niveau du pied manquant avec ancien produits de restauration (col + matériau de bouchage à l'extérieur alors que à l'intérieur pas de trou visible et trace de tournage qui indique que c'est la base) et partie avec ouverture de l'autre côté presque compléte aussi. Si pas théière possiblement acquamanile ?= mais bec verseur vers le bas... ancienne étiquette d'avant guerre avant num d'inventaire, ne correspond pas au numéro sur le sachet de conditionnement (celui là d'après la base de données est un vase autrichien en porcelaine donc erronné). inventaire hist. : ""poterie non vernissée. cinq pièces : poterie fine à pâte noire, lustrée ? Fabrique d'Ahmedabad provinde de Gujarate (Indostan), savoir : 3. vase à fumer (Gourgouli) à forme de bouteille sphéroïdale : décor ? gris et or, à segments de cercles, quadrillés"". fait partie de la même donation que l 4936. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",3075,3075,"3075 (1).JPG
3075 (17).JPG",terre cuite ,terre cuite,,FALSE,porte huilier,oil cruet,XVIII,FALSE,250,France {Europe},France {Europe},FALSE,12,"le pied et le bec verseur  et l'autre partie de la panse : entre 6 et 8 cm ; la partie avc la hanse : entre 8 et 10 cm ; 8 2 cm ou moins ; forme un peu variées qqls sharp pointus, mais d'autre plus polygonales. ","11 cm de long ; 8 cm de large ; 12,5 cm de haut ",,"0,3",30,fragmentaire et lacunaire ; traces d'anciennes restau : hanse complétement restituée plâtre et goujon avc file d'étain ; trace de consolidation de la glaçure avec papier kraft encore collé sur l'objet par endroit : entièrement consolidé surement car très fin et fragile mais du coup effet papier mâché cassant +++; éclats sous le pied ; corrosion du goujon métallique qui dégrade la cérame ; trace de colle à l'intérieur,"ancienne étiquette avec numéro d'inventaire sur le col, glaçure marron/ tons chauds flammés (quelle technique ? Quelle origine ?). Très très fin coquille d'œuf comme le vase du bengale. Inventaire hist. : poterie vernissée. Un porte huilier, à galerie treillissée, avec un huilier à panse sphéroïdale ; vernis écaillé. Attribué aux fabriques de Clermonc en Auvergne, vers 1720"". entrée dans les collections en janvier 1843. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",5207,5207,"5207 (11).JPG
5207 (15).JPG
5207 (2).JPG",terre cuite ,mixte(terre cuite+quartz),engobée,FALSE,cruche ,jug,XIX - XVIII ,TRUE,620,Portugal {Europe},Portugal {Europe},FALSE,8,le vase presque entier : 28 cm de haut par 17 cm de large/diamètre; puis fragments du col : 3 entre 4 et 6 cm ; 1 entre 2 et 4 cm ; 2 mois de 2 cm ; l'hanse entre 14 et 16 cm ,,,"0,1",10,"empoussièrement, éclats un peu partout ; pas de profil archéo complet car morceau du col non jointif/pas de connexion","probablement pas tourné mais fait au colombins (irrégularitées par endroits) ; décors gravés fait au trait lors de la conception ; éléments exogènes (faïence ? En tout cas pâte différente et avec un couche vitrifiée) accroché avec de la barbotine sur la panse en déco ? (un peu bizarre moche); ancienne étiquette sur un morceau du col. Inventaire historique : ""Poterie réfrigérante. Une cruche oréforme, à anses latérales cordelées, ornée sur toute la surface, de ? émaillée, en forme de ? et de bouton renfermant des graines de quartz blancs, terre rougeâtre. fabrique d'Estremoz (portugal)."" Donnée par Mr Achille Jubinal. entré dans les collections en mai 1858. ",sevres_terre cuite.csv,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",10169_141 ? ,,,pâte blanche poreuse;  décor galçurée,faïence,galçurée + pâte blanche poreuse,FALSE,vase ajourée décoratif,decorative openwork vase,XX,TRUE,156 (?),Chine (?) {Asie} (ou imitation européenne),China {Asia},TRUE,16,la base entière et le pourtour du col entier : entre 6 et 8 cm ; 1 fragment de la panse entre 6 et 8 cm aussi ; 4 entre 4 et 6 cm ; 5 entre 4 et 2 cm ; 4  de 2 cm ou moins ,"14,4 cm de hauteur ; 8 cm de diamètre ; base quadrangulaire de 6,5x6,5 cm",,"0,15",15,fragmentaire et lacunaire ; nombreux éclats un peu partout laissant voir la pâte blanche poreuse ; rayures au niveau de la base (ressort plus car couleur plus foncé que le reste du vase) ; ,"numéro d'inventaire difficile à déchiffrer, ne correspond à celui sur le sachet (celui du sachet correspond à un autre objet d'après la base de donnée du musée mais n'est pas là …); le sachet contient également les fragments de ce qui semble être l'anse d'un autre objet (peu être confusion dû à la conleur de la glaçure assez similaire). description dans l'inventaire qui ne correspond pas ",sevres_terre cuite.csv,,,,,
